case_number,prompt,class,evaluation_seed
0,An image of a airplane,airplane,5428
1,An image of a airplane,airplane,4351
2,An image of a airplane,airplane,4691
3,An image of a airplane,airplane,5517
4,An image of a airplane,airplane,247
5,An image of a airplane,airplane,9592
6,An image of a airplane,airplane,1250
7,An image of a airplane,airplane,9069
8,An image of a airplane,airplane,4440
9,An image of a airplane,airplane,543
10,An image of a airplane,airplane,8473
11,An image of a airplane,airplane,7659
12,An image of a airplane,airplane,8203
13,An image of a airplane,airplane,4122
14,An image of a airplane,airplane,6528
15,An image of a airplane,airplane,2563
16,An image of a airplane,airplane,4026
17,An image of a airplane,airplane,4878
18,An image of a airplane,airplane,8867
19,An image of a airplane,airplane,2922
20,An image of a airplane,airplane,2745
21,An image of a airplane,airplane,513
22,An image of a airplane,airplane,5653
23,An image of a airplane,airplane,935
24,An image of a airplane,airplane,6330
25,An image of a airplane,airplane,635
26,An image of a airplane,airplane,5729
27,An image of a airplane,airplane,6108
28,An image of a airplane,airplane,1253
29,An image of a airplane,airplane,2099
30,An image of a airplane,airplane,5232
31,An image of a airplane,airplane,3179
32,An image of a airplane,airplane,651
33,An image of a airplane,airplane,9017
34,An image of a airplane,airplane,2738
35,An image of a airplane,airplane,391
36,An image of a airplane,airplane,2169
37,An image of a airplane,airplane,878
38,An image of a airplane,airplane,1015
39,An image of a airplane,airplane,1151
40,An image of a airplane,airplane,3962
41,An image of a airplane,airplane,6283
42,An image of a airplane,airplane,2199
43,An image of a airplane,airplane,8198
44,An image of a airplane,airplane,1948
45,An image of a airplane,airplane,8207
46,An image of a airplane,airplane,4861
47,An image of a airplane,airplane,1390
48,An image of a airplane,airplane,3722
49,An image of a airplane,airplane,6256
50,An image of a airplane,airplane,3398
51,An image of a airplane,airplane,2113
52,An image of a airplane,airplane,3163
53,An image of a airplane,airplane,3671
54,An image of a airplane,airplane,7739
55,An image of a airplane,airplane,7210
56,An image of a airplane,airplane,4760
57,An image of a airplane,airplane,5722
58,An image of a airplane,airplane,4731
59,An image of a airplane,airplane,9454
60,An image of a airplane,airplane,468
61,An image of a airplane,airplane,8821
62,An image of a airplane,airplane,1050
63,An image of a airplane,airplane,6509
64,An image of a airplane,airplane,4481
65,An image of a airplane,airplane,5400
66,An image of a airplane,airplane,7282
67,An image of a airplane,airplane,1211
68,An image of a airplane,airplane,3289
69,An image of a airplane,airplane,6668
70,An image of a airplane,airplane,324
71,An image of a airplane,airplane,1662
72,An image of a airplane,airplane,9206
