case_number,prompt,class,evaluation_seed
0,"a sleek, modern commercial airliner ascending into a sunset sky with wispy clouds.",airplane,0
1,a seaplane gracefully touching down on crystal-clear waters surrounded by lush tropical islands.,airplane,1
2,"a futuristic hypersonic jet cruising above the earth's atmosphere, stars twinkling in the background.",airplane,2
3,a military fighter jet performing a high-speed maneuver with afterburners at an air show.,airplane,3
4,"a private jet taxiing on a runway, bathed in the warm glow of city lights at twilight.",airplane,4
5,a vintage propeller-driven aircraft performing a low pass over a scenic alpine lake.,airplane,5
6,"an antique propeller-driven aircraft parked in a grassy field, with a picnic happening nearby.",airplane,6
7,"a supersonic passenger jet breaking the sound barrier, leaving a mesmerizing shockwave in its wake.",airplane,7
8,a spy drone aircraft hovering silently above an urban cityscape at night.,airplane,8
9,"a rescue helicopter hovering over a turbulent ocean, ready to assist a distressed vessel.",airplane,9
10,a world war ii bomber aircraft on a mission over a historical european city.,airplane,10
11,a majestic glider riding thermals high above rolling hills and meadows.,airplane,11
12,"a vintage warbird participating in an airshow, leaving trails of smoke against a cloud-dappled sky.",airplane,12
13,"a stealth bomber emerging from the shadows, its sleek design blending seamlessly with the night.",airplane,13
14,a commercial airliner making a smooth touchdown on a runway with a backdrop of city lights.,airplane,14
15,"a supersonic jet breaking the sound barrier, with a visible cone of condensation forming around it.",airplane,15
16,a dual-propeller seaplane gracefully taking off from a serene mountain lake.,airplane,16
17,"a crop duster in action, creating intricate patterns over vast fields of golden wheat.",airplane,17
18,a helicopter airlifting supplies to a remote mountain village surrounded by snow-capped peaks.,airplane,18
19,"a vintage biplane performing loops and rolls at an airshow, leaving trails of smoke.",airplane,19
20,a classic red and white floatplane docked at a wooden pier on a serene lake.,airplane,20
21,"a small bush plane taking off from a dirt runway in the african savannah, with wildlife in view.",airplane,21
22,a sleek business jet soaring high above a desert landscape with a setting sun casting long shadows.,airplane,22
23,a squadron of fighter jets executing a perfectly synchronized aerial display with precision and speed.,airplane,23
24,"a futuristic flying car with wings extended, cruising above a bustling future cityscape.",airplane,24
25,"a solar-powered drone soaring gracefully in the stratosphere, harnessing energy from the sun.",airplane,25
26,"a sleek, black stealth bomber flying low over a desert landscape at dusk.",airplane,26
27,"an electric-powered airplane taking off, showcasing a green, sustainable future for aviation.",airplane,27
28,an experimental vertical takeoff and landing (vtol) aircraft hovering against a dramatic sunset.,airplane,28
29,"a firefighting plane releasing a cascade of water over a raging wildfire, heroically battling the flames.",airplane,29
30,"a group of paramotor enthusiasts soaring through the sky with colorful parachutes, creating a visual spectacle.",airplane,30
31,a retro-style airship cruising above a steampunk-inspired cityscape with towering skyscrapers.,airplane,31
32,"a skywriting plane crafting intricate patterns and messages against a clear, blue canvas.",airplane,32
33,"a cargo drone delivering essential supplies to a remote, snow-covered mountain outpost.",airplane,33
34,a commuter seaplane landing on a serene lake surrounded by lush greenery and mountains.,airplane,34
35,a twin-engine turboprop plane flying through a storm with lightning in the background.,airplane,35
36,an electric-powered air taxi taking off from a helipad on top of a futuristic skyscraper.,airplane,36
37,"a group of vintage world war ii planes in a formation flight, paying tribute to aviation history.",airplane,37
38,a crop-dusting plane releasing a trail of mist over a blooming orange orchard.,airplane,38
39,a high-altitude glider riding the thermal currents above a breathtaking snow-covered mountain range.,airplane,39
40,"a commercial airliner cruising above a vast desert, leaving behind a trail of shimmering heat waves.",airplane,40
41,a reconnaissance drone capturing stunning aerial views of a tropical rainforest canopy.,airplane,41
42,a wwii fighter plane with a shark mouth nose art engaging in a mock dogfight at an airshow.,airplane,42
43,a formation of aerobatic planes creating a heart-shaped pattern in the sky during a celebration.,airplane,43
44,"a biplane towing a glider into the air, ready for an exhilarating ride among the clouds.",airplane,44
45,an amphibious search and rescue aircraft conducting a mission over a stormy ocean.,airplane,45
46,"a group of skydivers in freefall, creating a mesmerizing formation against a clear blue sky.",airplane,46
47,"a futuristic flying car soaring over a city skyline, showcasing the intersection of technology and transportation.",airplane,47
48,a classic propeller-driven crop duster in action over a vast expanse of sunflower fields.,airplane,48
49,an acrobatic plane spiraling down with a ribbon of colored smoke against the backdrop of a mountain range.,airplane,49
50,"a rugged off-road adventure vehicle, covered in mud, conquering a challenging mountain trail.",automobile,50
51,"an elegant luxury sedan, champagne gold, parked in front of a glamorous five-star hotel.",automobile,51
52,"a compact urban electric car, lime green, navigating through a crowded modern cityscape.",automobile,52
53,"a muscle car with a roaring engine, burning rubber on an empty desert highway under a blazing sunset.",automobile,53
54,"a rugged, dirt-covered off-road vehicle climbing a rocky mountain path, surrounded by lush greenery.",automobile,54
55,"a sleek hybrid crossover, midnight blue, navigating a snow-covered road in a serene winter landscape.",automobile,55
56,"a classic 1960s muscle car, jet black, doing a burnout in an abandoned industrial area.",automobile,56
57,"a yellow taxi cab in the busy streets of new york, with skyscrapers towering in the background.",automobile,57
58,"a white limousine with a sunroof, parked outside a red carpet event, with flash photography in the background.",automobile,58
59,"a retro-inspired hot rod, flames painted on the sides, revving its engine at a nostalgic drive-in movie theater.",automobile,59
